Timestamp,Prodi,Semester,Kuliah online membuat saya lebih fleksibel dalam mengatur waktu belajar.,Saya merasa lebih mudah memahami materi saat kuliah offline dibanding online.,Interaksi dengan dosen lebih efektif saat kuliah offline.,Kuliah offline membantu saya lebih aktif dalam diskusi.,Koneksi internet menjadi kendala utama dalam kuliah online.,Fasilitas kelas kampus mendukung efektivitas belajar saya saat kuliah offline.,Kuliah online membuat saya lebih cepat lelah secara mental dibanding kuliah offline.,Beban tugas saat kuliah online terasa lebih berat.,"Secara keseluruhan, kuliah online efektif bagi saya.",Saya lebih memilih kuliah offline untuk semester berikutnya.,Model hybrid (campuran) lebih efektif dibanding hanya online atau offline.,"Menurut Anda, apa tantangan utama yang menghambat efektivitas belajar saat kuliah online?"
5/6/2026 12:48,Sains Data,2,5,5,5,5,5,5,4,4,1,5,3,susah untuk memahami materi dan jaringan nya suka jelek 
5/6/2026 12:49,Teknik Pertambangan,2,5,1,5,3,5,3,2,3,5,1,5,Tantangan Utama dalam Kuliah Online sudah pasti Jaringan
5/6/2026 12:54,Teknik Sipil,2,2,5,5,5,5,5,4,4,1,5,1,Sering online dan penglihatan ke depan sering terhalang dosen yang mengajar dan sulit untuk fokus di kelas
5/6/2026 12:59,Sains Data,2,4,5,5,3,3,4,1,3,1,5,4,"kecenderungan menyepelekan kelas karena tidak ada aktifitas pembelajaran secara langsung, yang membuat mahasiswa mudah terdistraksi dan kurang fokus"
5/6/2026 13:03,Sains Data,2,3,5,5,4,5,4,2,3,4,4,5,"Pertama koneksi internet yang sering bermasalah, lalu berisiko menimbulkan inefektivitas komunikasi antara dosen dan mahasiswa dalam artian tidak jarang mahasiswanya tidak benar² mengikuti kuliah jika tidak diperintahkan untuk mengaktifkan kamera"
5/6/2026 13:25,Teknologi Pengolahan Pulp and Paper,6,4,5,5,5,3,5,5,4,1,5,3,"Zoom tidak premium, sinyal, mudah terdistraksi sama aktifitas lainnya (tidur)"
5/6/2026 13:25,Teknologi Pengolahan Pulp and Paper,6,3,4,5,5,3,3,3,2,3,4,4,Niat
5/6/2026 13:42,Sains Data,2,3,5,3,3,3,4,4,4,3,4,4,Gampang ke distraksi ke hal lain
5/6/2026 13:55,Teknologi Pengolahan Pulp and Paper,6,2,4,5,4,3,3,2,4,1,4,3,"Tantangan utamanya adalah gangguan lingkungan di rumah serta kurangnya interaksi sosial langsung yang menurunkan motivasi belajar. Selain itu, kendala teknis seperti koneksi internet yang tidak stabil sering kali menghambat fokus dan kelancaran materi. Terakhir, menatap layar terlalu lama juga membuat mahasiswa sulit mempertahankan konsentrasi dalam durasi lama, dan memberikan efek buruk bagi mata."
5/6/2026 14:02,Teknik Pertambangan,2,1,2,5,5,5,5,3,3,2,4,3,"Kendala utama tentu saja koneksi internet, lalu device yang tidak mendukung juga dapat menghambat kegiatan kelas"
5/6/2026 14:05,Teknologi Pengolahan Pulp and Paper,6,1,5,5,5,5,1,5,5,1,5,5,Distraksi
5/6/2026 14:40,Teknologi Pengolahan Pulp and Paper,2,3,5,5,5,5,5,5,5,2,5,5,"Yang menjadi penghambat dalam efektivitas belajar kuliah online, pertama dari segi fokus & disiplin diri. Kuliah online itu justru suasananya jadi terlalu santai belum lagi gampang kedistraksi mau itu main Hp scroll sosmed atau apapun itu belum lagi melawan rasa malasnya. Karna posisinya kalo online itu jadi tidak ada yang mengawasi langsung kaya di kelas dimana kita dituntut untuk lebih mandiri. Kedua interaksinya terbatas, ketika lagi komunikasi justru pada saat kuliah online malah terasa kaku dan juga kurang responsif. Ketiga kendala teknis semacam internet yang gak stabil, walau sepele tapi proses belajar terganggu. Keempat metode belajarnya kurang variatif, kadang ada dosen yang cuma jelasin dari paparan slide, jadi cepet bosan dan nyerap materinya susah"
5/6/2026 15:51,Teknologi Pengolahan Sawit,2,2,5,5,4,3,5,1,2,1,5,3,mengatur jam tdr
5/6/2026 15:58,Sains Data,2,4,4,4,4,2,4,3,4,2,4,4,jaringan dan interaksi antara dosen dan mahasiswa 
5/6/2026 16:27,Sains Data,2,3,5,4,4,4,4,3,3,1,5,4,jaringan yang tidak stabil dan terkadang materi yang di berikan lebih sulit di cerna
5/6/2026 16:28,Sains Data,2,2,5,5,5,5,5,4,2,3,5,5,"kuota internet, mood belajar juga lebih baik ketika kuliah offline. "
5/6/2026 16:38,Sains Data,4,1,4,5,4,5,4,5,1,2,5,3,Gampang ter distraksi
5/6/2026 16:56,Teknik Metalurgi,2,5,5,5,5,5,5,5,1,1,5,5,Kurang paham terhadap materi yg di berikan 
5/6/2026 17:04,Sains Data,2,3,5,4,4,5,3,3,3,2,4,3,"Tantangan utama yang menghambat efektivitad belajar saat kuliah online:internet,kurang mengerti penjelasan."
5/6/2026 17:11,Sains Data,2,3,4,4,3,4,4,4,3,2,3,4,kurang fokus saat kuliah online dan juga koneksi internet tidak stabil
5/6/2026 17:38,Teknik Pertambangan,2,2,5,5,5,2,5,4,3,1,5,3,"saat kuliah online,mahasiswa menjadi tidak terlalu bersemangat karena bisa sambil bermalas malasan dan tiduran di kasur "
5/6/2026 18:00,Sains Data,2,3,3,4,4,4,3,3,4,3,3,3,"Saat kuliah online via zoom/gmeet, lebih mudah terditraksi untuk membuka aplikasi lain"
5/6/2026 18:03,Design Produk,4,4,5,5,5,5,5,5,5,2,5,2,koneksi internet 
5/6/2026 18:10,Design Produk,6,4,4,5,4,5,4,4,3,3,4,5,Internet super lemot
5/6/2026 18:14,Design Produk,8,3,5,5,5,5,4,3,3,2,4,2,MUDAH NGANTUK SEHINGGA TIDAK TERLALU FOKUS SAAT DOSEN MENJELASKAN
5/6/2026 18:56,Teknik Pertambangan,2,1,1,1,1,1,1,1,1,1,1,1,tidak ada
5/6/2026 19:02,Teknik Pertambangan,2,5,5,5,5,3,1,1,1,1,5,1,"Menurut saya, tantangan utama yang menghambat efektivitas belajar saat kuliah online terletak pada menurunnya kualitas interaksi dan fokus belajar. Dalam pembelajaran daring, saya merasa penyampaian materi sering kurang maksimal karena keterbatasan komunikasi langsung antara dosen dan mahasiswa, sehingga pemahaman terhadap materi menjadi tidak sebaik saat tatap muka. Selain itu, gangguan dari lingkungan sekitar seperti suasana rumah yang kurang kondusif dan mudahnya terdistraksi oleh perangkat digital juga membuat saya sulit berkonsentrasi. Di sisi lain, kendala teknis seperti jaringan internet yang tidak stabil turut memperparah kondisi tersebut. Oleh karena itu, menurut saya, faktor interaksi, konsentrasi, dan dukungan teknis menjadi hambatan utama dalam mencapai pembelajaran online yang efektif."
5/6/2026 19:02,Design Produk,2,4,5,5,5,5,4,2,5,1,4,3,sinyal jaringan
5/6/2026 19:03,Teknik Pertambangan,2,5,1,1,1,5,3,2,4,1,5,5,"1. Sinyal 
2. Rata"" Mahasiswa saat kuliah online mereka bisa sambil tiduran atau bahkan bermain game
3. pemahaman materi lebih sulit karena dalam kuliah online jarang terjadi dialog/kontak secara langsung dengan dosen"
5/6/2026 19:04,Design Produk,2,2,5,5,4,5,5,3,5,2,4,4,pemahaman materi dan koneksi internet
5/6/2026 20:03,Informatika,2,3,5,5,4,2,3,3,2,1,4,3,Komunikasi atau pengajaran 
5/6/2026 20:06,Teknik Pertambangan,2,3,5,5,5,3,4,1,3,1,5,1,Jaringan dan Kemalasan
5/6/2026 20:19,Teknologi Pengolahan Sawit,2,3,5,5,4,2,3,4,3,2,4,4,saya kurang fokus pada penjelasan dosen dan mudah terdistrak oleh hal lain di sekitar
5/6/2026 20:55,Sains Data,2,3,2,4,3,3,3,4,3,2,3,4,tidak fokus ke dosen  
5/6/2026 21:03,Sains Data,2,3,4,4,4,3,3,3,3,3,3,3,"kendala jaringan jika tiba tiba lampu padam, sulitnya berinteraksi kepada dosen maupun teman, sebab berinteraksi langsung itu lebih efisien daripada virtual
"
5/6/2026 21:53,Informatika,2,2,4,5,5,3,4,2,2,2,4,5,"Karena interaksi terkesan satu arah, jadinya tidak ada yang benar benar fokus mendengarkan"
5/6/2026 22:21,Teknik Pertambangan,2,5,5,5,4,5,4,2,3,2,4,4,koneksi internet
5/6/2026 23:07,Teknik Pertambangan,2,5,5,5,5,5,5,1,5,1,5,5,koneksi jaringan dan antusias mahasiswa 
5/7/2026 16:33,Teknik Metalurgi,2,4,4,4,4,1,2,2,2,4,3,5,kemalasan untuk ikut zoom atau meet karena dirumah namun untuk aktifitas pribadi jadi lebih mudah khususnya jika pada jadwal akhir matkul seperti hari kamis atau jumat jadi memudahkan untuk istirahat yang cukup sebagai mahasiswa
5/7/2026 22:27,Sains Data,2,2,4,3,3,4,4,3,3,2,4,3,"Menurut saya, tantangan utama yang menghambat efektivitas belajar saat kuliah online adalah kurangnya interaksi dan umpan balik real-time, yang menyebabkan:"
5/8/2026 8:47,Sains Data,2,3,5,5,5,3,4,1,3,2,5,4,Kurang nya interaksi dan sesi diskusi
5/8/2026 9:38,Sains Data,2,3,4,4,4,3,4,2,2,3,4,4,Jaringan klo ngeleg kadang suka tidsk terdengar penjelasan nya
5/9/2026 8:40,Sains Data,2,3,5,5,5,3,5,3,2,3,5,4,Forum diskusi yang kurang efektif dan materi kurang tersampaikan dengan baik
5/9/2026 15:26,Sains Data,4,3,4,5,5,4,4,2,3,3,5,4,"Banyak sekali tantangan, terutama untuk berusaha mengikuti penjelasan materi dari dosen. Kadang kalau online saya tidak begitu fokus untuk mendengarkan. "
5/10/2026 13:41,Sains Data,4,4,5,5,5,2,3,4,2,2,5,2,"Komunikasi antara mahasiswa dan dosen, karena dosen terkesan hanya fokus pada materi yang dijelaskan tanpa menanyakan kondisi mahasiswa sudah paham atau belum"
5/11/2026 10:41,Teknik Sipil,2,4,5,5,4,5,5,2,3,3,4,3,Koneksi internet yang tidak stabil
5/11/2026 10:52,Teknik Metalurgi,2,2,3,4,4,5,4,3,4,2,4,5,"faktor teknis dan lingkungan, "
5/11/2026 10:54,Perencanaan Wilayah dan Kota,2,3,1,5,5,5,4,4,5,1,5,2,"1. Kendala jaringan
2. Kurang iteraktif
3. Sulit berkomunikasi"
5/11/2026 11:11,Sains Data,2,3,3,4,3,4,3,3,4,4,3,4,jaringan 
5/11/2026 11:43,Sains Data,2,5,5,5,4,5,3,2,4,4,5,3,Koneksi jaringan dan interaksi dosen dengan mahasiswa yang kurang.
5/11/2026 11:56,Teknik Perminyakan,2,5,5,3,3,5,3,3,3,2,4,3,kurang fokus
5/12/2026 10:56,Informatika,2,1,5,5,5,3,1,1,3,1,5,4,Tidak Niat secara personal
5/12/2026 14:10,Teknologi Pengolahan Sawit,4,1,5,5,5,5,5,2,1,3,4,5,Kendala Jaringan 
5/13/2026 7:58,Sains Data,2,2,4,4,4,3,4,3,3,2,5,2,"Menurut saya, tantangan terbesar saat kuliah online itu ada di fokus dan kurangnya interaksi langsung. Karena belajar lewat layar dan kebanyakan dari rumah, jadi gampang banget terdistraksi, entah karena suasana sekitar, main media sosial, rasa malas, atau capek sendiri karena terlalu lama lihat gadget. Selain itu, komunikasi sama dosen dan teman juga terasa lebih terbatas dibanding kuliah tatap muka. Akibatnya, kadang materi jadi lebih susah dipahami dan banyak mahasiswa yang akhirnya malas atau sungkan buat bertanya kalau ada yang belum dimengerti."
5/13/2026 8:53,Sains Data,2,1,5,5,5,5,5,3,1,2,5,3,"selain internet yang menghambat aktivitas mengajar dan belajar, saya juga tidak dapat berdiskusi dengan dosen dengan baik seperti pembelajaran secara offline "
5/13/2026 11:15,Sains Data,2,3,3,5,5,3,3,3,3,3,3,3,"-gampang kedistrak (banyak godaan nya) hp salah satunya, sosmed
-jaringan teknis (laptop ngeleg, jaringan lemot, atau mati listrik, bikin ketinggalan materi)
-kurang interaksi (sulit nanya langsung)
-motivasi turun (karena dirumah mahasiswa justru lebih santai, mengerjakan tugas jarang bahkan mepet deadline ikut kelas sambil tiduran dan scroll sosmed "
5/13/2026 11:47,Sains Data,2,3,4,5,4,5,4,3,4,2,3,4,"Tantangan utama yang menghambat efektivitas belajar saat kuliah online adalah koneksi internet yang tidak stabil, kurangnya interaksi langsung dengan dosen, serta sulit menjaga fokus dan motivasi belajar karena lingkungan rumah yang sering kurang kondusif."
5/13/2026 12:07,Teknik Sipil,2,3,5,5,5,5,5,1,1,3,3,5,jaringan internet 
5/13/2026 12:49,Teknik Perminyakan,2,3,4,5,5,4,5,2,4,2,4,4,terdistraksi akan hal lain
5/13/2026 13:59,Informatika,2,3,2,5,5,3,2,2,3,3,2,1,Lebih ke suasananya aja.kalo dirumah hawanya males banget terus kadang kondisi rumah juga ga selalu kondusif.
5/15/2026 12:18,Informatika,2,3,3,2,4,2,4,1,4,2,3,5,Tidak ada
5/15/2026 12:52,Perencanaan Wilayah dan Kota,2,2,4,5,4,5,5,3,5,2,4,3,"Masalah jaringan dan perangkat, sulit sekali untuk fokus mendengarkan dan memahami materi karena kendala suara dosen yang patah2"
5/15/2026 13:25,Informatika,2,4,2,5,5,3,4,3,3,3,5,2,Motivasi belajar
